runtime_path,module,orchestrator_depth,total_symbol_hits,active_symbol_count
ciel_omega/ext/ext2.py,,,10,4
ciel_omega/ext/extemot.py,,,10,4
ciel_omega/memory/memory_log.py,,,10,2
ciel_omega/orbital/phase_control.py,,,10,2
ciel_omega/orbital/rh_control.py,,,10,4
ciel_omega/runtime/omega/drift_core.py,,,10,2
ciel_omega/symbolic/glyph_pipeline.py,,,10,2
ciel_omega/bio/eeg_processor.py,,,8,3
ciel_omega/ciel/llm_registry.py,,,8,2
ciel_omega/ciel_wave/__init__.py,,,8,2
ciel_omega/ciel_wave/fourier_kernel.py,,,8,2
ciel_omega/core/braid/glyphs.py,,,8,2
ciel_omega/core/braid/scars.py,,,8,2
ciel_omega/core/quantum/resonance_kernel.py,,,8,2
ciel_omega/demo_m0_perceptual_memory.py,,,8,2
ciel_omega/demo_m1_working_memory.py,,,8,2
ciel_omega/emotion/utils.py,,,8,2
ciel_omega/fields/soul_invariant.py,,,8,2
ciel_omega/memory/monolith/tsm_storage.py,,,8,2
ciel_omega/memory/monolith/wpm_storage.py,,,8,2
ciel_omega/orbital/model.py,,,8,4
ciel_omega/test_alignment_strengthening.py,,,8,2
ciel_omega/bio/eeg_emotion_mapper.py,,,6,2
ciel_omega/emotion/cqcl/cqcl_program.py,,,6,3
ciel_omega/ext/extfwcku.py,,,6,2
ciel_omega/inference/topology_api.py,,,6,2
ciel_omega/memory/affective_types.py,,2,6,2
ciel_omega/memory/monolith/data_types.py,,,6,2
ciel_omega/memory/monolith/rules_engine.py,,,6,2
ciel_omega/memory/perceptual_types.py,,2,6,2
ciel_omega/memory/procedural_types.py,,2,6,2
ciel_omega/memory/semantic_types.py,,2,6,2
ciel_omega/memory/working_types.py,,2,6,2
ciel_omega/resonance/resonance_parallel.py,,,6,2
ciel_omega/vocabulary/demo_core_concepts.py,,,6,3
ciel_omega/bio/crystal_receiver.py,,,4,2
ciel_omega/ciel/cli.py,,,4,3
ciel_omega/cognition/perception.py,,,4,2
ciel_omega/cognition/prediction.py,,,4,2
ciel_omega/config/ciel_config.py,,,4,3
ciel_omega/config/constants.py,,,4,2
ciel_omega/core/braid/adapter.py,,,4,3
ciel_omega/demo_unified_euler.py,,,4,2
ciel_omega/demo_vocabulary_resolve.py,,,4,3
ciel_omega/ethics/ethical_engine.py,,,4,2
ciel_omega/ext/ext4.py,,,4,2
ciel_omega/symbolic/glyph_interpreter.py,,,4,2
ciel_omega/symbolic/symbolic_bridge.py,,,4,2
ciel_omega/test_orbital_rh_control.py,,,4,2
ciel_omega/__init__.py,,,2,2
ciel_omega/bio/schumann.py,,,2,2
ciel_omega/ciel/__main__.py,,,2,2
ciel_omega/core/__init__.py,,,2,2
ciel_omega/core/braid/loops.py,,,2,2
ciel_omega/core/quantum/__init__.py,,,2,2
ciel_omega/emotion/feeling_field.py,,,2,2
ciel_omega/fields/__init__.py,,,2,2
ciel_omega/vocabulary/transcendent.py,,3,2,2
ciel_omega/bio/__init__.py,,,0,0
ciel_omega/bridge/__init__.py,,,0,0
ciel_omega/calibration/__init__.py,,,0,0
ciel_omega/ciel/__init__.py,,,0,0
ciel_omega/ciel/gguf_backends.py,,,0,0
ciel_omega/ciel/hf_backends.py,,,0,0
ciel_omega/ciel/language_backend.py,,,0,0
ciel_omega/ciel_io/__init__.py,,,0,0
ciel_omega/ciel_io/bootstrap.py,,,0,0
ciel_omega/ciel_io/reality_logger.py,,,0,0
ciel_omega/ciel_io/simple_loader.py,,,0,0
