canonical_path,extension,size_bytes,line_count,py_functions,py_classes,import_in_repo_count,import_external_count,contains_phase,contains_memory,contains_reduction,contains_truth,contains_holonomy,contains_tau,contains_registry,contains_constraint,contains_potential,contains_orchestrator
ciel_omega/configs/heuristics_user.json,.json,255,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/configs/rules_immutable.json,.json,150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/conftest.py,.py,238,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ciel_omega/constraints/AGENT.md,.md,525,21,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ciel_omega/constraints/README.md,.md,460,25,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ciel_omega/constraints/__init__.py,.py,361,16,0,0,1,0,1,0,0,0,0,0,0,1,0,0
ciel_omega/constraints/euler_constraint.py,.py,14323,346,19,1,1,6,1,1,0,0,0,1,1,1,0,0
ciel_omega/core/__init__.py,.py,210,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/base.py,.py,712,31,3,1,0,3,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/braid/__init__.py,.py,676,30,0,0,9,1,1,1,0,0,0,0,1,0,0,0
ciel_omega/core/braid/adapter.py,.py,2288,72,3,1,2,3,1,1,0,0,0,0,0,0,0,0
ciel_omega/core/braid/defaults.py,.py,2479,88,4,0,7,3,1,1,0,0,0,0,1,0,0,0
ciel_omega/core/braid/glyphs.py,.py,1733,64,6,4,2,3,0,1,0,0,0,0,0,0,0,0
ciel_omega/core/braid/loops.py,.py,661,34,0,2,1,4,1,1,0,0,0,0,0,0,0,0
ciel_omega/core/braid/memory.py,.py,1406,58,4,2,0,4,1,1,0,0,0,0,0,0,0,0
ciel_omega/core/braid/phase_field.py,.py,574,23,2,1,0,4,1,0,0,0,0,0,0,0,0,0
ciel_omega/core/braid/runtime.py,.py,3480,114,6,1,6,6,1,1,0,0,0,0,1,0,0,0
ciel_omega/core/braid/scars.py,.py,1651,65,4,2,0,5,1,1,0,0,0,0,1,0,0,0
ciel_omega/core/braid/scheduler.py,.py,507,21,2,1,1,3,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/math_utils.py,.py,2408,87,6,0,0,2,1,0,0,0,0,0,0,0,0,0
ciel_omega/core/physics/__init__.py,.py,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/physics/ciel0_framework.py,.py,26823,693,21,2,0,9,1,0,0,0,0,1,0,1,1,0
ciel_omega/core/physics/csf_simulator.py,.py,4420,137,5,3,0,5,1,0,0,0,0,0,0,0,0,1
ciel_omega/core/physics/definite_kernel.py,.py,29803,671,21,4,0,6,1,0,0,0,0,0,1,0,1,0
ciel_omega/core/physics/reality_expander.py,.py,979,39,1,1,0,4,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/physics/reality_laws.py,.py,9860,223,15,2,0,5,1,0,0,0,0,0,0,1,1,0
ciel_omega/core/quantum/__init__.py,.py,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/quantum/quantum_engine.py,.py,22838,597,36,8,0,10,1,0,0,0,0,1,0,1,1,1
ciel_omega/core/quantum/quantum_optimiser.py,.py,1537,50,1,1,0,3,0,0,0,0,0,0,0,0,0,0
ciel_omega/core/quantum/resonance_kernel.py,.py,1708,57,4,1,0,6,0,0,0,0,0,0,0,0,1,0
ciel_omega/coriolis_cymatics.py,.py,17184,450,8,2,0,6,1,0,0,1,0,0,0,0,1,0
ciel_omega/demo_ciel_omega_complete.py,.py,18268,445,6,1,0,12,1,1,1,0,0,0,1,0,0,1
ciel_omega/demo_full_pipeline.py,.py,25322,530,1,0,0,38,1,1,1,0,0,1,1,0,0,1
ciel_omega/demo_holonomic_orchestrator.py,.py,3236,49,1,0,0,1,0,1,0,0,0,0,0,0,0,1
ciel_omega/demo_holonomy_eba.py,.py,11867,334,4,0,0,2,1,1,0,0,1,1,1,1,1,0
ciel_omega/demo_m0_perceptual_memory.py,.py,1575,39,1,0,0,1,1,1,0,0,0,0,1,0,0,0
