runtime_path,orchestrator_depth,tau_i,gamma_i,Delta_H,R_H,V_rel,epsilon,D,W_ij,A_ij,Sigma_i,EulerBerry,tetrahedral_frame,reduction,memory,orchestrator,total_symbol_hits
ciel_omega/memory/monolith/cli.py,,0,0,0,0,0,0,7,0,5,0,0,0,0,20,5,37
ciel_omega/monolit.py,,12,2,2,9,0,0,2,5,0,1,4,0,0,0,0,37
ciel_omega/memory/monolith/tmp_processor.py,,0,8,0,0,0,0,19,0,2,0,0,0,0,6,0,35
ciel_omega/demo_ciel_omega_complete.py,,0,3,0,0,0,1,0,0,0,18,0,0,0,9,2,33
ciel_omega/ext/ext19.py,,0,0,0,0,0,0,0,0,2,26,0,0,0,3,0,31
ciel_omega/orbital/dynamics.py,,9,0,0,0,0,0,0,2,3,0,15,2,0,0,0,31
ciel_omega/ciel/engine.py,,0,0,0,0,0,0,3,0,4,3,0,0,0,13,6,29
ciel_omega/mathematics/universal_law/universal_engine.py,,8,1,0,0,0,3,4,0,6,2,2,0,0,3,0,29
ciel_omega/memory/monolith/orchestrator.py,,0,0,0,0,0,0,14,0,2,0,0,0,0,11,2,29
ciel_omega/ext/ext10.py,,3,0,0,0,0,0,0,0,0,12,0,0,0,8,4,27
ciel_omega/ext/ext17.py,,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26
ciel_omega/core/physics/csf_simulator.py,,0,0,0,0,0,0,0,0,4,19,0,0,0,0,1,24
ciel_omega/core/quantum/quantum_engine.py,,16,1,0,0,0,1,2,0,3,0,0,0,0,0,1,24
ciel_omega/mathematics/lie4/lie4_full.py,,6,1,0,0,0,3,0,0,5,3,2,0,0,3,0,23
ciel_omega/ext/ext6.py,,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21
ciel_omega/fields/unified_sigma_field.py,,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21
ciel_omega/coriolis_cymatics.py,,0,0,2,13,2,0,0,0,0,3,0,0,0,0,0,20
ciel_omega/ext/ext7.py,,0,1,0,0,0,0,3,0,9,0,0,0,0,5,2,20
ciel_omega/ext/ext1.py,,0,0,0,0,0,0,3,0,11,4,0,0,0,0,0,18
ciel_omega/experiments/lab_registry.py,,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17
ciel_omega/ext/ext5.py,,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17
ciel_omega/ext/ext9.py,,0,6,0,0,0,0,0,0,0,7,0,0,0,0,4,17
ciel_omega/integration/information_flow.py,,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,16
